utc,tke
2016-01-04 13:00:00,1.54325
2016-01-04 13:20:00,1.53070
2016-01-04 13:40:00,1.48376
2016-01-04 14:00:00,1.41448
2016-01-04 14:20:00,1.29308
2016-01-04 14:40:00,1.19204
2016-01-04 15:00:00,1.14345
2016-01-04 15:20:00,1.12989
2016-01-04 15:40:00,1.11108
2016-01-04 16:00:00,1.15843
2016-01-04 16:20:00,1.22536
2016-01-04 16:40:00,1.29013
2016-01-04 17:00:00,1.33286
2016-01-04 17:20:00,1.34706
2016-01-04 17:40:00,1.33989
2016-01-04 18:00:00,1.18346
2016-01-04 18:20:00,1.07912
2016-01-04 18:40:00,0.984773
2016-01-04 19:00:00,0.878469
2016-01-04 19:20:00,0.850443
2016-01-04 19:40:00,0.879132
2016-01-04 20:00:00,0.833350
2016-01-04 20:20:00,0.942145
2016-01-04 20:40:00,1.01418
2016-01-04 21:00:00,0.828357
2016-01-04 21:20:00,0.649552
2016-01-04 21:40:00,0.592644
2016-01-04 22:00:00,0.429150
2016-01-04 22:20:00,0.527332
2016-01-04 22:40:00,0.504180
2016-01-04 23:00:00,0.449912
2016-01-04 23:20:00,0.749476
2016-01-04 23:40:00,0.561576
2016-01-05 00:00:00,0.813126
2016-01-05 00:20:00,0.478353
2016-01-05 00:40:00,0.559255
2016-01-05 01:00:00,0.900968
2016-01-05 01:20:00,0.785192
2016-01-05 01:40:00,0.593216
2016-01-05 02:00:00,0.987801
2016-01-05 02:20:00,1.05284
2016-01-05 02:40:00,1.15608
2016-01-05 03:00:00,1.16489
2016-01-05 03:20:00,1.14547
2016-01-05 03:40:00,1.11073
2016-01-05 04:00:00,1.09039
2016-01-05 04:20:00,1.07142
2016-01-05 04:40:00,1.04216
2016-01-05 05:00:00,1.01118
2016-01-05 05:20:00,0.971119
2016-01-05 05:40:00,0.951764
2016-01-05 06:00:00,1.01676
2016-01-05 06:20:00,1.09065
2016-01-05 06:40:00,1.16163
2016-01-05 07:00:00,1.22456
