station,valid,drct,sped
IND,2016-01-19 13:54,340.00,5.75
IND,2016-01-19 14:54,0.00,0.00
IND,2016-01-19 15:54,0.00,0.00
IND,2016-01-19 16:54,230.00,5.75
IND,2016-01-19 17:54,0.00,0.00
IND,2016-01-19 18:54,0.00,0.00
IND,2016-01-19 19:54,0.00,0.00
IND,2016-01-19 20:54,120.00,6.90
IND,2016-01-19 21:54,null,4.60
IND,2016-01-19 22:54,110.00,6.90
IND,2016-01-19 23:54,120.00,5.75
IND,2016-01-20 00:54,110.00,6.90
IND,2016-01-20 01:54,100.00,9.20
IND,2016-01-20 02:54,130.00,9.20
IND,2016-01-20 03:54,110.00,8.05
IND,2016-01-20 04:54,140.00,5.75
IND,2016-01-20 05:54,120.00,5.75
IND,2016-01-20 06:33,120.00,5.75
IND,2016-01-20 06:43,150.00,3.45
IND,2016-01-20 06:54,150.00,6.90
IND,2016-01-20 07:54,120.00,6.90
IND,2016-01-20 07:56,120.00,6.90
IND,2016-01-20 08:10,110.00,5.75
IND,2016-01-20 08:17,100.00,8.05
IND,2016-01-20 08:29,110.00,5.75
IND,2016-01-20 08:32,110.00,5.75
IND,2016-01-20 08:41,90.00,6.90
IND,2016-01-20 08:44,100.00,6.90
IND,2016-01-20 08:54,100.00,6.90
IND,2016-01-20 09:19,100.00,6.90
IND,2016-01-20 09:22,100.00,6.90
IND,2016-01-20 09:41,100.00,5.75
IND,2016-01-20 09:52,110.00,6.90
IND,2016-01-20 09:54,120.00,6.90
IND,2016-01-20 10:22,110.00,6.90
IND,2016-01-20 10:24,110.00,8.05
IND,2016-01-20 10:54,110.00,9.20
IND,2016-01-20 11:28,120.00,8.05
IND,2016-01-20 11:54,120.00,9.20
IND,2016-01-20 12:54,100.00,8.05
IND,2016-01-20 13:30,90.00,5.75
IND,2016-01-20 13:54,100.00,4.60
IND,2016-01-20 14:54,70.00,3.45
IND,2016-01-20 15:34,100.00,4.60
IND,2016-01-20 15:54,0.00,0.00
IND,2016-01-20 16:03,0.00,0.00
IND,2016-01-20 16:54,0.00,0.00
IND,2016-01-20 17:54,330.00,8.05
IND,2016-01-20 18:18,330.00,9.20
IND,2016-01-20 18:54,330.00,6.90
IND,2016-01-20 19:54,310.00,10.35
IND,2016-01-20 20:54,330.00,6.90
IND,2016-01-20 21:54,340.00,6.90
IND,2016-01-20 22:54,310.00,5.75
IND,2016-01-20 23:54,350.00,8.05
IND,2016-01-21 00:54,360.00,4.60
IND,2016-01-21 01:54,40.00,8.05
IND,2016-01-21 02:54,0.00,0.00
IND,2016-01-21 03:54,0.00,0.00
IND,2016-01-21 03:56,80.00,3.45
IND,2016-01-21 04:54,90.00,6.90
IND,2016-01-21 05:54,140.00,5.75
IND,2016-01-21 06:11,180.00,5.75
IND,2016-01-21 06:54,140.00,5.75
IND,2016-01-21 07:30,110.00,5.75
IND,2016-01-21 07:54,100.00,6.90
IND,2016-01-21 08:54,150.00,6.90
