station,valid,sped
BOS,2021-01-21 14:54,9.20
BOS,2021-01-21 15:54,9.20
BOS,2021-01-21 16:54,11.50
BOS,2021-01-21 17:54,16.10
BOS,2021-01-21 18:43,12.65
BOS,2021-01-21 18:54,11.50
BOS,2021-01-21 19:09,8.05
BOS,2021-01-21 19:54,9.20
BOS,2021-01-21 20:08,6.90
BOS,2021-01-21 20:54,4.60
BOS,2021-01-21 21:54,4.60
BOS,2021-01-21 22:54,3.45
BOS,2021-01-21 23:54,3.45
BOS,2021-01-22 00:54,4.60
BOS,2021-01-22 01:54,8.05
BOS,2021-01-22 02:54,4.60
BOS,2021-01-22 03:54,9.20
BOS,2021-01-22 04:54,5.75
BOS,2021-01-22 05:54,8.05
BOS,2021-01-22 06:54,3.45
BOS,2021-01-22 07:54,12.65
BOS,2021-01-22 08:54,8.05
BOS,2021-01-22 09:54,8.05
BOS,2021-01-22 10:54,4.60
BOS,2021-01-22 11:54,8.05
BOS,2021-01-22 12:54,8.05
BOS,2021-01-22 13:54,6.90
BOS,2021-01-22 14:54,8.05
BOS,2021-01-22 15:54,9.20
BOS,2021-01-22 17:54,11.50
BOS,2021-01-22 18:54,12.65
BOS,2021-01-22 19:54,13.80
BOS,2021-01-22 20:54,11.50
BOS,2021-01-22 21:54,9.20
BOS,2021-01-22 22:54,11.50
BOS,2021-01-22 23:54,14.95
BOS,2021-01-23 00:54,11.50
BOS,2021-01-23 01:54,11.50
BOS,2021-01-23 02:54,5.75
BOS,2021-01-23 03:54,10.35
BOS,2021-01-23 04:54,10.35
BOS,2021-01-23 05:54,12.65
BOS,2021-01-23 06:54,12.65
BOS,2021-01-23 07:54,11.50
BOS,2021-01-23 08:54,11.50
BOS,2021-01-23 09:54,14.95
BOS,2021-01-23 10:54,13.80
BOS,2021-01-23 12:54,12.65
BOS,2021-01-23 13:13,11.50
BOS,2021-01-23 13:29,19.55
BOS,2021-01-23 13:54,18.40
BOS,2021-01-23 14:54,17.25
BOS,2021-01-23 15:54,12.65
BOS,2021-01-23 16:54,17.25
BOS,2021-01-23 17:54,20.70
BOS,2021-01-23 18:54,18.40
BOS,2021-01-23 19:54,23.00
BOS,2021-01-23 20:54,24.15
BOS,2021-01-23 21:54,18.40
BOS,2021-01-23 22:54,16.10
BOS,2021-01-23 23:54,23.00
BOS,2021-01-24 00:54,20.70
BOS,2021-01-24 01:54,18.40
BOS,2021-01-24 02:54,19.55
BOS,2021-01-24 03:54,18.40
BOS,2021-01-24 04:54,14.95
BOS,2021-01-24 05:54,19.55
BOS,2021-01-24 06:54,19.55
BOS,2021-01-24 07:54,18.40
BOS,2021-01-24 08:54,18.40
BOS,2021-01-24 09:54,13.80
BOS,2021-01-24 10:54,20.70
BOS,2021-01-24 11:54,20.70
BOS,2021-01-24 12:54,23.00
BOS,2021-01-24 13:54,23.00
BOS,2021-01-24 14:54,18.40
BOS,2021-01-24 15:54,25.30
BOS,2021-01-24 16:54,23.00
BOS,2021-01-24 17:54,23.00
BOS,2021-01-24 18:54,26.45
BOS,2021-01-24 19:54,20.70
BOS,2021-01-24 20:54,21.85
BOS,2021-01-24 21:54,18.40
BOS,2021-01-24 22:54,25.30
BOS,2021-01-24 23:54,17.25
BOS,2021-01-25 00:54,20.70
BOS,2021-01-25 01:54,20.70
BOS,2021-01-25 02:54,20.70
BOS,2021-01-25 03:54,20.70
BOS,2021-01-25 04:54,20.70
BOS,2021-01-25 05:54,20.70
BOS,2021-01-25 06:54,18.40
BOS,2021-01-25 07:54,14.95
BOS,2021-01-25 08:54,18.40
BOS,2021-01-25 09:54,13.80
BOS,2021-01-25 10:54,10.35
BOS,2021-01-25 11:54,6.90
BOS,2021-01-25 12:54,11.50
BOS,2021-01-25 13:54,10.35
BOS,2021-01-25 14:54,17.25
BOS,2021-01-25 15:54,16.10
BOS,2021-01-25 16:54,14.95
BOS,2021-01-25 17:54,14.95
BOS,2021-01-25 18:54,11.50
BOS,2021-01-25 19:54,14.95
BOS,2021-01-25 20:54,16.10
BOS,2021-01-25 21:54,13.80
BOS,2021-01-25 22:54,10.35
BOS,2021-01-25 23:54,10.35
BOS,2021-01-26 00:54,10.35
BOS,2021-01-26 01:54,10.35
BOS,2021-01-26 02:54,9.20
BOS,2021-01-26 04:54,6.90
BOS,2021-01-26 05:54,9.20
BOS,2021-01-26 06:54,6.90
BOS,2021-01-26 07:54,8.05
BOS,2021-01-26 08:54,9.20
BOS,2021-01-26 09:54,11.50
BOS,2021-01-26 10:54,8.05
BOS,2021-01-26 11:54,6.90
BOS,2021-01-26 12:54,8.05
BOS,2021-01-26 13:54,8.05
BOS,2021-01-26 14:54,9.20
BOS,2021-01-26 15:54,9.20
BOS,2021-01-26 16:54,9.20
BOS,2021-01-26 17:29,9.20
BOS,2021-01-26 17:54,9.20
BOS,2021-01-26 18:54,8.05
BOS,2021-01-26 19:54,9.20
BOS,2021-01-26 20:54,8.05
BOS,2021-01-26 21:42,6.90
BOS,2021-01-26 21:47,8.05
BOS,2021-01-26 21:54,8.05
BOS,2021-01-26 22:37,5.75
BOS,2021-01-26 22:45,8.05
BOS,2021-01-26 22:48,5.75
BOS,2021-01-26 22:54,5.75
BOS,2021-01-26 23:08,4.60
BOS,2021-01-26 23:15,4.60
BOS,2021-01-26 23:30,8.05
BOS,2021-01-26 23:42,6.90
BOS,2021-01-26 23:52,8.05
BOS,2021-01-26 23:54,8.05
BOS,2021-01-27 00:19,5.75
BOS,2021-01-27 00:28,6.90
BOS,2021-01-27 00:37,6.90
BOS,2021-01-27 00:44,8.05
BOS,2021-01-27 00:54,8.05
BOS,2021-01-27 01:10,8.05
BOS,2021-01-27 01:18,9.20
BOS,2021-01-27 01:24,9.20
BOS,2021-01-27 01:37,8.05
BOS,2021-01-27 01:54,8.05
BOS,2021-01-27 02:04,6.90
BOS,2021-01-27 02:54,8.05
BOS,2021-01-27 03:08,6.90
BOS,2021-01-27 03:54,8.05
BOS,2021-01-27 04:12,8.05
